Developer,Product,Product Type,Components,Features,Codified Design Checks Certified By Qualified Engineer,ISO 9001 Compliant,Link to Guidance,Concrete,Masonry,Steel,Timber,Polymers,Composites,Eurocodes,UK National Annex,Other National Annexes,British Standards,Other Codes,Level of Structural Checks,Python,C#,Grasshopper,Other,Operating System,Processors,Memory (RAM),Storage Requirements,Internet Access Required,Link to Full Specs,Pricing Structure,Secondary Software Requirements
Civil & Structural Computer Services (C&SCS) Ltd,Building Design Suite,Stand Alone,Analysis,2D Analysis/#3D Analysis,-,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,Yes,No,No,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Finite Element Analysis for/#Building Design Suite,Plug In,Analysis,Finite Element Analysis,-,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,No,No,No,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,Dynamic Analysis & Vibration Desgin for/#Building Design Suite,Plug In,Analysis/#Design,Dynamic Analysis/#Vibration Design,No,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,Yes,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,Member Designer for/#Building Design Suite,Plug In,Design,Design of Concrete Elements/#Design of Steel Elements/#Design of Timber Elements/#Design of Composite Elements,No,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,Yes,No,Yes,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,Concrete Slab & Wall Designer for/#Building Design Suite,Plug In,Analysis/#Design,[Design of Concrete Elements {Including:/#Concrete Walls/#Concrete Flat Slabs (1 Way)/#Concrete Flat Slabs (2 Way)}],No,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,Connection Designer for/#Building Design Suite,Plug In,Design,[Design of Connections {Including:/#Baseplates/#Steel to Steel Connections}],No,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,No,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,Pile Cap Designer for/#Building Design Suite,Plug In,Design,Pile Caps,No,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,BIM Modelling for/#Building Design Suite,Plug In,BIM,Building Information Modelling,-,No,https://www.masterseries.com/products/masterseries-building-design-suite,Yes,No,Yes,Yes,No,Yes,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,Building Design Suite
Civil & Structural Computer Services (C&SCS) Ltd,PowerPad - MasterSeries Lite Suite,Stand Alone,Analysis,2D Analysis/#3D Analysis,-,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,Yes,No,No,-,-,-,-,-,-,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Finite Element Analysis for/#PowerPad MasterSeries Lite Suite,Plug In,Analysis,Finite Element Analysis,-,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,Yes,No,No,-,-,-,-,-,-,-,-,-,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,PowerPad - MasterSeries Lite Suite
Civil & Structural Computer Services (C&SCS) Ltd,Member Designer for/#PowerPad MasterSeries Lite Suite,Plug In,Analysis/#Design,Design of Concrete Elements/#Design of Steel Elements/#Design of Timber Elements/#Design of Composite Elements,No,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,Yes,No,No,Yes,Yes,User Defined,-,"[South Africa {SABS, SANS}]",Full,-,-,-,-,Windows 10/#Windows 11,-,-,-,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,PowerPad - MasterSeries Lite Suite
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - MasterPort,Stand Alone,Design,2D Analysis/#3D Analysis,No,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,Yes,No,No,Yes,Yes,User Defined,-,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Connection Designer,Stand Alone,Design,[Design of Connections {Including:/#Baseplates/#Steel to Steel Connections}],No,No,https://www.masterseries.com/products/powerpad,Yes,No,Yes,No,No,No,Yes,Yes,User Defined,Yes,-,Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Masonry Design,Stand Alone,Design,Masonry Walls,No,No,https://www.masterseries.com/products/powerpad,No,Yes,No,No,No,No,Yes,Yes,Ireland/#Belgium/#Netherlands/#Germany/#France/#Italy/#Spain/#Sweden/#Denmark/#User Defined,Yes,[Ireland {IS}],Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Retaining Walls Design,Stand Alone,Design,Concrete Retaining Walls/#Masonry Retaining Walls,No,No,https://www.masterseries.com/products/powerpad,Yes,Yes,No,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
Civil & Structural Computer Services (C&SCS) Ltd,Power Pad - Steel Beam Designer,Stand Alone,Design,Steel Beams,No,No,https://www.masterseries.com/products/powerpad,No,No,Yes,No,No,No,Yes,Yes,User Defined,Yes,"[South Africa {SABS, SANS}]",Full,No,No,No,-,Windows 10/#Windows 11,Intel Core i5+ or equivalent AMD,8 GB,5 GB,[Yes{Cloud licence needs constant internet access/Softlock licence: the license server must have internet access at least once every 14 days}],https://files.masterseries.com/documents/MasterSeriesHardware.pdf,Paid/#or Subscription,-
